id_nomenclatura,estado_amenaza,codigo_int,id_amenaza
ICN,CR,1075,E1075
ICN,CR,1076,E1076
ICN,CR,1077,E1077
ICN,VU,1078,E1078
ICN,EN,1079,E1079
ICN,CR,1080,E1080
ICN,VU,1081,E1081
ICN,VU,1082,E1082
ICN,EN,1083,E1083
ICN,EN,1084,E1084
ICN,CR,1085,E1085
ICN,EN,1086,E1086
ICN,VU,1087,E1087
ICN,EN,1088,E1088
ICN,EN,1089,E1089
ICN,VU,1090,E1090
ICN,VU,1091,E1091
ICN,VU,1092,E1092
ICN,EN,1093,E1093
ICN,EN,1094,E1094
ICN,EN,1095,E1095
ICN,VU,1096,E1096
ICN,CR,1097,E1097
ICN,VU,1098,E1098
ICN,VU,1099,E1099
ICN,VU,1100,E1100
ICN,EN,1101,E1101
ICN,EN,1102,E1102
ICN,EN,1103,E1103
ICN,CR,1104,E1104
ICN,EN,1105,E1105
ICN,VU,1106,E1106
ICN,CR,1107,E1107
ICN,EN,1108,E1108
ICN,CR,1109,E1109
ICN,VU,1110,E1110
ICN,EN,1111,E1111
ICN,EN,1112,E1112
ICN,VU,1113,E1113
ICN,EN,1114,E1114
ICN,VU,1115,E1115
ICN,EN,1116,E1116
ICN,EN,1117,E1117
ICN,EN,1118,E1118
ICN,CR,1119,E1119
ICN,VU,1120,E1120
ICN,EN,1121,E1121
ICN,EN,1122,E1122
ICN,CR,1123,E1123
ICN,VU,1124,E1124
ICN,VU,1125,E1125
ICN,CR,1126,E1126
ICN,VU,1127,E1127
